Player,Name_Key,First_Name_Key,Last_Name_Key,Best_Rank,Best_Rank_Year,Latest_Pipeline_Year,Latest_Position,Latest_Team,Latest_Level,Latest_Age,Pipeline_Appearances,All_Pipeline_Years
Kevin Alcántara,kevin alcantara,kevin,alcantara,65,2024,2025,OF,Chicago Cubs,AAA,23,3,2023;2024;2025
Michael Harris II,michael harris,michael,harris,65,2022,2022,OF,Atlanta Braves,MLB,25,1,2022
Miguel Andujar,miguel andujar,miguel,andujar,65,2018,2018,3B,San Diego Padres,MLB,31,1,2018
Steele Hall,steele hall,steele,hall,65,2026,2026,SS,Cincinnati Reds,ROK,18,1,2026
Edgar Quero,edgar quero,edgar,quero,66,2025,2025,C,Chicago White Sox,MLB,23,1,2025
Luisangel Acuña,luisangel acuna,luisangel,acuna,66,2024,2024,SS/OF/2B,Chicago White Sox,MLB,24,2,2023;2024
Brayden Taylor,brayden taylor,brayden,taylor,67,2025,2025,INF,Tampa Bay Rays,AA,23,1,2025
Jesse Winker,jesse winker,jesse,winker,67,2017,2018,OF,New York Mets,MLB,32,2,2017;2018
Josue Briceño,josue briceno,josue,briceno,67,2026,2026,C/1B,Detroit Tigers,AA,21,2,2025;2026
Andy Pages,andy pages,andy,pages,68,2022,2023,OF,Los Angeles Dodgers,MLB,25,2,2022;2023
Christian Moore,christian moore,christian,moore,68,2025,2025,2B,Los Angeles Angels,AAA,23,1,2025
Joshua Báez,joshua baez,joshua,baez,68,2026,2026,OF,St. Louis Cardinals,AAA,22,1,2026
Cam Collier,cam collier,cam,collier,69,2023,2025,1B/3B,Cincinnati Reds,AA,21,2,2023;2025
Moisés Ballesteros,moises ballesteros,moises,ballesteros,69,2025,2025,C,Chicago Cubs,MLB,22,1,2025
Nate George,nate george,nate,george,69,2026,2026,OF,Baltimore Orioles,A+,19,1,2026
Dax Kilby,dax kilby,dax,kilby,70,2026,2026,SS,New York Yankees,A,19,1,2026
Hunter Bishop,hunter bishop,hunter,bishop,71,2020,2021,OF,San Francisco Giants,AAA,27,2,2020;2021
Monte Harrison,monte harrison,monte,harrison,71,2018,2018,OF,Milwaukee Brewers,AAA,30,1,2018
Ryan Mountcastle,ryan mountcastle,ryan,mountcastle,71,2019,2021,OF/1B,Baltimore Orioles,MLB,29,4,2018;2019;2020;2021
