Player,Age,total_games,rows
Jace Jung,21,91,2
Arjun Nimmala,18,91,1
Michael Busch,20,91,2
Luisangel Acuña,20,91,1
Jordan Westburg,20,91,2
Joshua Báez,20,91,1
Nick Senzel,20,90,2
A.J. Ewing,19,90,1
Jeferson Quero,20,90,1
Zach Neto,21,90,2
CJ Abrams,21,90,1
Jacob Berry,21,90,2
Liover Peguero,20,90,1
Yordan Alvarez,20,90,1
Aaron Judge,20,90,2
Jhonny Level,18,89,1
Eloy Jiménez,20,89,1
Shea Langeliers,19,89,2
Brooks Lee,21,89,2
Hunter Bishop,21,89,2
Brendan Rodgers,20,89,1
Lewis Brinson,20,89,1
Emil Morales,18,89,1
Christian Arroyo,19,89,1
Brady House,20,88,1
Pete Alonso,21,88,2
Thayron Liranzo,21,88,1
Hunter Bishop,20,88,2
Yordan Alvarez,21,88,1
Kahlil Watson,19,88,1
Kevin McGonigle,20,88,1
Travis Bazzana,21,87,2
Shohei Ohtani,19,87,1
Colton Cowser,21,87,2
Franklin Arias,18,87,1
Jaison Chourio,20,87,1
Bo Naylor,21,87,1
Scott Kingery,20,87,2
Kaelen Culpepper,21,87,2
Austin Meadows,21,87,1
Nate George,19,87,1
Alex Ramírez,21,87,2
Luis Lara,18,87,1
Trevor Larnach,20,87,2
Justin Crawford,19,87,1
Shohei Ohtani,18,86,1
Joshua Báez,21,86,1
Triston Casas,21,86,1
Fernando Tatis Jr.,20,86,2
Kevin Newman,20,86,2
George Valera,20,86,1
Gavin Cross,21,86,2
Ike Irish,19,86,2
Derek Fisher,20,86,2
Bobby Dalbec,19,86,2
Hunter Bishop,19,86,2
Rafael Devers,20,86,1
Luke Keaschall,20,86,2
Keibert Ruiz,20,85,1
Yusniel Díaz,19,85,1
Angel Genao,21,85,1
Tommy Troy,21,85,2
Nick Madrigal,21,85,2
Geraldo Perdomo,21,85,1
Charlie Condon,21,85,2
Tommy Troy,20,85,2
Alex Freeland,19,84,2
Drake Baldwin,21,84,2
Brayden Taylor,19,84,2
Roldy Brito,18,84,1
Jonathan India,19,84,2
Walker Jenkins,20,84,1
Estevan Florial,20,84,1
Rainiel Rodriguez,18,84,1
Sal Frelick,21,83,2
Elijah Green,19,83,1
J.P. Martínez,18,83,1
Eduardo Quintero,18,83,1
Daulton Varsho,21,83,1
Kahlil Watson,20,83,1
Edward Florentino,18,83,1
Matt Shaw,19,83,3
James Triantos,20,83,1
Tre' Morgan,20,83,2
Bobby Dalbec,20,82,2
Albert Almora Jr.,19,82,2
Jordan Walker,19,82,1
Walker Jenkins,19,82,1
Gabriel Moreno,19,82,1
Elijah Green,21,82,1
Adley Rutschman,19,81,2
Nolan Schanuel,21,81,2
Ike Irish,20,81,2
Xavier Edwards,21,81,1
Yoán Moncada,20,81,1
Willie Calhoun,19,81,2
Michael Chavis,20,81,1
Tyler Black,21,81,2
Gabriel Gonzalez,20,81,1
Spencer Torkelson,18,80,2
Eduardo Tait,17,80,1
Braden Montgomery,19,80,2
Monte Harrison,20,80,1
Sal Stewart,20,80,1
Kaelen Culpepper,19,80,2
Drew Romo,19,79,1
Curtis Mead,18,79,2
Cooper Ingle,21,79,2
Nolan Schanuel,19,79,2
J.P. Martínez,19,79,1
Starlyn Caba,18,79,1
Jonathan India,20,78,2
Alec Burleson,19,78,2
Matt McLain,21,78,2
Garrett Mitchell,19,78,2
Braden Montgomery,20,78,2
Tommy Troy,19,78,2
Marcelo Mayer,20,78,1
Charles Davalan,20,77,2
Aiva Arquette,20,77,2
Ryan Waldschmidt,19,77,2
Marcelo Mayer,21,77,1
Curtis Mead,21,76,1
Nick Senzel,19,76,2
Jo Adell,20,76,1
Alex Freeland,20,76,3
Julio Rodríguez,21,76,1
Brooks Lee,20,76,2
Wander Franco,20,76,1
James Wood,19,76,1
JJ Bleday,19,75,2
Josh Bell,21,75,1
Ike Irish,21,75,2
Amed Rosario,18,75,1
Jordan Groshans,21,75,1
Jacob Wilson,21,75,2
Justin Foscue,19,75,2
JJ Bleday,20,75,2
Michael Busch,21,75,2
Wyatt Langford,20,75,2
Oscar Colás,19,75,1
Monte Harrison,19,74,1
Bradley Zimmer,20,74,2
Kevin McGonigle,19,74,1
Jesse Winker,20,74,1
Estevan Florial,21,74,1
Jacob Wilson,19,74,2
Marco Luciano,21,74,1
Josue De Paula,18,74,1
Randy Arozarena,19,74,1
Tyler Black,20,74,2
Logan O'Hoppe,19,73,2
Oneil Cruz,20,73,1
Kevin Parada,20,73,2
Leody Taveras,17,73,1
Ryan Waldschmidt,21,73,2
Joey Bart,19,73,2
Ezequiel Tovar,17,73,1
Willie Calhoun,20,73,1
Franklin Barreto,18,73,1
Charles Davalan,21,73,2
Christian Moore,19,73,2
Theo Gillen,19,73,1
Jeimer Candelario,17,72,1
Dansby Swanson,20,72,1
Alec Burleson,20,72,2
Tyler Freeman,19,72,1
Angel Genao,19,72,1
Shohei Ohtani,20,71,1
Nico Hoerner,21,71,2
Bryson Stott,20,71,2
Jefferson Rojas,18,71,1
Richard Urena,17,71,1
Jeimer Candelario,18,71,1
Ezequiel Tovar,20,71,1
Jac Caglianone,20,71,1
Rafael Devers,17,70,1
Luis Campusano,19,70,1
Vladimir Guerrero Jr.,21,70,2
Colt Emerson,18,70,1
Brayden Taylor,20,70,2
Alex Ramírez,20,70,2
Lazaro Montes,18,70,1
Starlyn Caba,19,69,2
Luis Robert Jr.,17,69,1
Luis Robert Jr.,18,69,2
Kristian Robinson,18,69,1
Heston Kjerstad,19,69,1
Jacob Wilson,20,69,2
Drew Gilbert,21,69,2
Brayan Rocchio,18,69,1
Zack Collins,20,69,2
Adael Amador,20,69,1
Adam Haseley,19,68,1
Drew Gilbert,20,68,1
Isan Díaz,19,68,1
Manuel Margot,17,68,1
Pavin Smith,19,68,1
Andrew Vaughn,20,68,2
Kyle Teel,19,68,2
Wander Franco,17,68,1
Kristian Campbell,21,67,2
Adley Rutschman,20,67,1
Raimel Tapia,17,67,1
Evan White,21,67,2
Ke'Bryan Hayes,19,67,1
Gabriel Gonzalez,18,67,1
Charlie Condon,20,67,2
Colt Keith,20,67,2
Estevan Florial,18,67,1
Justin Foscue,20,67,1
Vidal Bruján,19,67,1
Colton Welker,19,67,1
JJ Wetherholt,19,66,2
Ezequiel Duran,20,66,1
Dylan Crews,19,66,2
Kyle Teel,20,66,2
Nick Kurtz,21,66,2
Jazz Chisholm Jr.,18,66,2
Ethan Salas,17,66,1
Mike Sirota,19,66,3
Raimel Tapia,19,66,1
Colt Keith,19,65,1
Yusniel Díaz,17,65,1
Pete Alonso,20,65,2
Marco Luciano,20,65,1
Oswald Peraza,19,65,1
Heston Kjerstad,20,65,1
Josue Briceño,19,65,2
Josh Jung,20,65,1
JJ Wetherholt,21,65,2
Noelvi Marte,17,65,1
Colton Cowser,19,65,2
Jorge Mateo,18,64,1
Jahmai Jones,18,64,1
Jace Jung,20,64,2
Colson Montgomery,21,64,1
Nolan Gorman,18,63,1
Ryan Waldschmidt,20,63,2
Travis Bazzana,19,63,1
Jordan Westburg,19,63,2
Austin Hendrick,20,63,1
Junior Caminero,18,63,1
Kyle Tucker,18,63,1
Christian Moore,20,63,1
Geraldo Perdomo,17,63,1
Andy Pages,18,63,1
Mike Sirota,20,63,2
Moisés Ballesteros,18,63,1
Raimel Tapia,18,63,1
JJ Wetherholt,20,63,2
Kevin Maitan,18,63,1
Tre' Morgan,18,63,1
Jacob Berry,20,63,1
Vladimir Guerrero Jr.,17,62,1
Richard Urena,18,62,1
Andrés Giménez,17,62,1
Spencer Torkelson,19,62,2
Zyhir Hope,19,62,1
Nolan Jones,19,62,1
Garrett Mitchell,20,62,1
Josh Jung,19,62,1
Jesse Winker,18,62,1
Dylan Crews,20,62,1
Tre' Morgan,19,62,1
Dalton Rushing,20,62,2
Ronald Acuña Jr.,18,62,2
Hunter Renfroe,20,61,1
Braden Montgomery,21,61,1
Charlie Condon,19,61,1
Zach Neto,20,61,3
Taylor Trammell,18,61,1
Kevin Parada,19,61,2
Elly De La Cruz,19,61,1
Luis Urías,18,61,1
J.P. Martínez,20,61,1
Zack Collins,19,61,1
Victor Robles,18,61,1
Michael Arroyo,18,61,1
Carter Kieboom,19,61,1
Tyler O'Neill,19,61,1
Andrew Benintendi,19,61,1
Liover Peguero,18,60,1
Travis Swaggerty,19,60,2
Austin Riley,18,60,1
Kyle Manzardo,20,60,2
Luis Matos,17,60,1
Blake Mitchell,20,60,1
Willy Adames,17,60,1
Bo Bichette,21,60,1
Nick Gonzales,19,60,2
Kyle Lewis,21,60,2
Chase DeLauter,19,60,2
Vidal Bruján,17,60,1
Brayan Rocchio,17,60,1
Andrew Vaughn,19,60,2
Nick Madrigal,20,60,1
Franklin Barreto,17,59,1
Travis Swaggerty,18,59,1
Fernando Tatis Jr.,21,59,1
Junior Caminero,20,59,1
Ryan McMahon,18,59,1
Oswald Peraza,17,58,1
Shea Langeliers,20,58,1
Amed Rosario,17,58,1
Henry Davis,21,58,2
Miguel Amaya,17,58,1
Luis Lara,17,58,1
Jasson Domínguez,21,58,1
Miguel Amaya,18,58,1
Austin Martin,21,58,2
Kristian Campbell,20,58,1
Gavin Cross,20,58,2
Ozzie Albies,17,57,1
Kristian Robinson,17,57,1
Chase DeLauter,21,57,1
Bradley Zimmer,19,57,1
Eloy Jiménez,18,57,1
Danny Jansen,21,57,1
Jackson Chourio,17,57,2
Isan Díaz,18,57,2
J.P. Martínez,21,57,1
Estevan Florial,17,57,1
Nick Gordon,18,57,1
Kaelen Culpepper,20,57,2
Geraldo Perdomo,18,57,1
Jasson Domínguez,18,57,1
Riley Greene,18,57,1
Cristian Pache,17,57,1
Wander Franco,18,57,1
Ronny Mauricio,17,57,1
Tyler Soderstrom,19,57,1
Jarred Kelenic,18,56,1
Derek Fisher,18,56,1
Ke'Bryan Hayes,18,56,1
Carson Kelly,17,56,1
Keibert Ruiz,17,56,1
Wander Franco,21,56,1
Alek Thomas,18,56,1
Aaron Judge,21,56,1
Nick Kurtz,20,56,1
Gavin Lux,18,56,1
Randy Arozarena,21,56,1
Lazaro Montes,17,56,1
Yoán Moncada,17,56,1
Zac Veen,21,55,2
Ronald Acuña Jr.,17,55,1
Matt Chapman,20,55,1
Alex Kirilloff,18,55,1
Fernando Tatis Jr.,17,55,1
Jackson Merrill,19,55,1
Gleyber Torres,20,55,1
Oneil Cruz,17,55,1
Aaron Judge,19,55,1
Jose Miranda,18,55,1
Josue Briceño,18,55,1
Gabriel Gonzalez,17,54,1
Ronaldo Hernández,19,54,1
Yanquiel Fernández,18,54,1
Alex Verdugo,18,54,1
Jose Miranda,19,54,1
Lewis Brinson,18,54,1
Evan White,20,54,1
Roldy Brito,17,54,1
Ceddanne Rafaela,17,54,1
Josh Lowe,18,54,1
Ronaldo Hernández,18,54,1
Josue De Paula,17,54,1
Luis Robert Jr.,16,54,1
Royce Lewis,18,54,1
Nick Kurtz,19,54,1
Owen Caissie,18,54,1
Danny Jansen,20,53,1
Coby Mayo,19,53,1
J.P. Crawford,18,53,1
Keston Hiura,19,53,1
Ezequiel Duran,19,53,1
Pedro Ramírez,18,53,1
Michael Harris II,18,53,1
Matt Chapman,19,53,1
Gabriel Arias,17,53,1
Ryan Mountcastle,18,53,1
Tyler Black,18,52,1
Nick Pratto,18,52,1
Victor Robles,21,52,1
Joey Bart,20,52,2
Josuar Gonzalez,17,52,1
Evan White,19,52,1
George Valera,18,52,1
Trevor Larnach,19,52,2
Jonny Farmelo,20,52,2
Andy Pages,17,52,1
Cody Bellinger,18,51,1
Alec Bohm,19,51,1
Luisangel Acuña,17,51,1
Vidal Bruján,18,51,1
Colton Welker,18,51,1
Mike Sirota,21,51,1
Dominic Smith,18,51,1
Jaison Chourio,17,51,2
Jesús Made,17,51,1
Brett Baty,19,51,1
Gleyber Torres,17,50,1
Michael Arroyo,17,50,1
Luis Robert Jr.,20,50,1
Dylan Carlson,17,50,1
Monte Harrison,18,50,1
Miguel Andujar,17,50,1
Jeter Downs,18,50,1
Drew Waters,18,50,1
